,id,native,language,probabilities,english_only,text
2,2.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999975169280103],True,"Hi everyone! I'm looking for a language exchange to improve my english. I'm a school teacher, so if you are interested in learning Spanish or Catalan, just let me know."
4,6.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996285903906],True,hi i'm antonio. i am here for learn english and i help you with italian.
17,23.0,Spanish<br/>Catalan,"[{'language': 'Danish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997429289742],True,I am from Barcelona and I speak Spanish and Catalan. At the moment I am studying English and French. I would love to find someone to help me practice English and/or French.
24,34.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999982265311804],True,"Hey, I'm interested in improving my English (I moved on to New York many weeks ago) and French. I'm an industrial engineer and work as a project manager. If you want to improve your Spanish skills, please just send me a message."
32,46.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999990612876699],True,"Hi, I'm trying to improve my english conversation skills, but I don't like to study in the conventional way, during the pandemic I realized that the best way was through language exchange or by talking with someone who had the same goal, I did a lot of exchange during those 6 months and now I wanted to see to start over. I love talking about movies, music, travel and tennis. And regarding me, I'm living in Spain, but I'm from Argentina, I emigrate here with my wife in 2002 and we have 2 kids :)"
38,52.0,Spanish,"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999972174711598],True,"Hello. I am Spanish but I have lived in France for 20 years. I have a high level of French in case someone wants to exchange in that language. I would like to practice English or German, if possible face to face in Seine et Marne or find somewhere in between to see us, or any messaging program. I'm not interested in flirting, what I really want is to practice languages, if you want to flirt there are applications for that better than this one and where you won't find me because I'm not intereste"
44,62.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967428554566],True,"I'm Victor from Mexico &amp; I'm here to learn and practice more English. I speak a lot of Spanish because it is my mother tongue. Actually, I just finished a Bachelor's Degree in Computer Engineering at the University of Guadalajara."
45,63.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965106222981],True,I am an italian guy looking for a language partner. I would like to practice e improve my english skill and I will be happy to help you with Italian. Feel free to contact me.
55,74.0,Italian,"[{'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999968717181977],True,"Hey there ! I'm a 45 years high educated man living in Milan, Italy, very interested in finding a reliable and funny language partner for practicing English and German. I believe a Language Exchange needs to be more about communication than about rules. Attitude to socialize and to be really open-mind with a great curiosity in what is happening beyond the Italian borders. Other passions are theatre, movies, history and travelling !"
57,76.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999962228924054],True,"Hello i would like to improve my English language . My level is intermediate. We could use WhatsApp to have conversation. I need to speak with native speaker very patient with me. I like meeting new people to discuss news, hobbies. I hope i will ear from you very soon !"
