,original,corrected,native
0,"I'm looking for a language exchange to improve my english. I'm a school teacher, so if you are interested in learning Spanish or Catalan, just let me know.","I'm looking for a language exchange to improve my English. I'm a school teacher, so if you are interested in learning Spanish or Catalan, just let me know.",Spanish<br/>Catalan
1,I am from Barcelona and I speak Spanish and Catalan. At the moment I am studying English and French. I would love to find someone to help me practice English and/or French.,"I am from Barcelona, and I speak Spanish and Catalan. At the moment, I am studying English and French. I would love to find someone to help me practice English and/or French.",Spanish<br/>Catalan
2,"Hey, I'm interested in improving my English (I moved on to New York many weeks ago) and French. I'm an industrial engineer and work as a project manager. If you want to improve your Spanish skills, please just send me a message.","Hey, I'm interested in improving my English (I moved on to New York many weeks ago) and French. I'm an industrial engineer and work as a project manager. If you want to improve your Spanish skills, please just send me a message.",Spanish
3,"Hi, I'm trying to improve my english conversation skills, but I don't like to study in the conventional way, during the pandemic I realized that the best way was through language exchange or by talking with someone who had the same goal, I did a lot of exchange during those 6 months and now I wanted to see to start over. I love talking about movies, music, travel and tennis. And regarding me, I'm living in Spain, but I'm from Argentina, I emigrate here with my wife in 2002 and we have 2 kids :)","Hi, I'm trying to improve my English conversation skills, but I don't like to study in the conventional way. During the pandemic, I realized that the best way was through language exchange or by talking with someone who had the same goal. I did a lot of language exchange during those 6 months, and now I want to start over. I love talking about movies, music, travel, and tennis. And regarding me, I'm living in Spain, but I'm from Argentina. I emigrated here with my wife in 2002, and we have 2 kids :)",Spanish
4,"I am Spanish but I have lived in France for 20 years. I have a high level of French in case someone wants to exchange in that language. I would like to practice English or German, if possible face to face in Seine et Marne or find somewhere in between to see us, or any messaging program. I'm not interested in flirting, what I really want is to practice languages, if you want to flirt there are applications for that better than this one and where you won't find me because I'm not intereste","I am Spanish, but I have lived in France for 20 years. I have a high level of French, so I would like to practice English or German, if possible face to face in the Seine et Marne or find somewhere in between to see us, or any messaging program. I'm not interested in flirting; what I really want is to practice languages; if you want to flirt, there are applications for that better than this one and where you won't find me because I'm not interested.",Spanish
5,"I'm Victor from Mexico &amp; I'm here to learn and practice more English. I speak a lot of Spanish because it is my mother tongue. Actually, I just finished a Bachelor's Degree in Computer Engineering at the University of Guadalajara.","I'm Victor from Mexico &amp; I'm here to learn and practice more English. I speak a lot of Spanish because it is my mother tongue. Actually, I just finished a Bachelor's Degree in Computer Engineering at the University of Guadalajara.",Spanish
6,I would like to practice e improve my english skill and I will be happy to help you with Italian. Feel free to contact me.,"I would like to practice and improve my English skills, and I will be happy to help you with Italian. Feel free to contact me.",Italian
7,"Hey there ! I'm a 45 years high educated man living in Milan, Italy, very interested in finding a reliable and funny language partner for practicing English and German. I believe a Language Exchange needs to be more about communication than about rules. Attitude to socialize and to be really open-mind with a great curiosity in what is happening beyond the Italian borders. Other passions are theatre, movies, history and travelling !","Hey there ! I'm a 45 years old highly educated man living in Milan, Italy, very interested in finding a reliable and funny language partner for practicing English and German. I believe a language exchange needs to be more about communication than about rules. The attitude to socialize and to be really open-minded with a great curiosity about what is happening beyond the Italian borders. Other passions are theatre, movies, history, and traveling !",Italian
8,"Hello
i would like to improve my English language . My level is intermediate. We could use WhatsApp to have conversation. I need to speak with native speaker very patient with me. I hope i will ear from you very soon !","Hello, I would like to improve my English language . My level is intermediate. We could use WhatsApp to have a conversation. I need to speak with native speakers very patiently with me. I hope I will hear from you very soon !",French
9,"Hi I’m Yoyo, I really need to improve my english and I also love making new friends, so please feel free to contact me if you want to learn french or if you just want to make friends !","Hi, I'm Yoyo. I really need to improve my English and I also love making new friends, so please feel free to contact me if you want to learn French or if you just want to make friends !",French
